"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"18-Feb-2022","    17456.70","    17586.35","    17439.05","    17472.90","      428511837","        21855.55"
"21-Feb-2022","    17389.55","    17532.40","    17251.85","    17379.10","      449219806","        24412.25"
"22-Feb-2022","    17012.75","    17321.15","    17009.30","    17276.50","      647475236","        32059.68"
"23-Feb-2022","    17378.95","    17413.30","    17240.00","    17273.45","      495074727","        24262.53"
"24-Feb-2022","    16742.80","    16897.85","    16384.45","    16428.05","     1217075206","        50092.19"
"25-Feb-2022","    16703.00","    16955.50","    16676.60","    16872.35","      856270671","        34646.99"
"28-Feb-2022","    16701.70","    17035.15","    16568.45","    17016.55","      894962316","        44527.78"
"02-Mar-2022","    16826.25","    16930.20","    16732.05","    16855.70","      990392072","        49111.73"
"03-Mar-2022","    16991.00","    17032.95","    16708.10","    16761.60","      891718687","        42033.84"
"04-Mar-2022","    16610.75","    16700.55","    16384.25","    16482.85","      876335255","        44092.48"
"07-Mar-2022","    16116.10","    16180.60","    15938.75","    16086.95","     1011359532","        47086.14"
"08-Mar-2022","    15991.45","    16267.05","    15901.10","    16251.65","      970057628","        48120.94"
"09-Mar-2022","    16328.40","    16648.10","    16245.75","    16571.55","      862927767","        44128.55"
"10-Mar-2022","    16979.85","    16979.85","    16689.80","    16835.50","      947887015","        45227.80"
"11-Mar-2022","    16773.60","    16928.25","    16717.00","    16877.70","      648813389","        31852.74"
"14-Mar-2022","    16882.50","    17092.15","    16833.10","    17076.60","      646865590","        32476.01"
"15-Mar-2022","    17107.75","    17136.90","    16764.25","    16873.45","      757602885","        39162.15"
"16-Mar-2022","    17086.00","    17209.50","    17052.60","    17198.00","      536867561","        28773.54"
"17-Mar-2022","    17422.35","    17553.70","    17394.25","    17505.40","     1534521770","        47278.29"
"21-Mar-2022","    17550.50","    17576.50","    17306.60","    17323.65","      642894568","        31109.92"
"22-Mar-2022","    17329.55","    17518.25","    17195.60","    17499.20","      661587380","        35430.70"
"23-Mar-2022","    17593.40","    17625.90","    17399.80","    17446.05","      665051234","        33853.19"
"24-Mar-2022","    17305.85","    17494.15","    17301.80","    17429.95","      547125259","        32265.40"
"25-Mar-2022","    17500.85","    17506.95","    17287.85","    17370.50","      501916257","        27859.31"
"28-Mar-2022","    17404.80","    17434.80","    17213.80","    17422.15","      592729810","        27627.63"
"29-Mar-2022","    17500.45","    17541.25","    17438.40","    17523.60","      555541052","        27711.18"
"30-Mar-2022","    17665.60","    17718.05","    17589.15","    17684.30","     1071575198","        41606.55"
"31-Mar-2022","    17710.75","    17752.55","    17627.35","    17660.35","      545400626","        32202.79"
"01-Apr-2022","    17643.90","    17912.70","    17631.10","    17879.50","      542934164","        29132.51"
"04-Apr-2022","    18010.30","    18281.95","    17994.90","    18256.10","      625460745","        47518.83"
"05-Apr-2022","    18294.25","    18327.75","    18159.85","    18195.10","      574202231","        37887.72"
"06-Apr-2022","    18089.30","    18154.05","    18042.85","    18075.10","      633715622","        33765.24"
"07-Apr-2022","    18006.65","    18092.30","    17906.10","    17920.80","      598781985","        35577.11"
"08-Apr-2022","    17993.65","    18144.35","    17906.55","    18089.30","      526966875","        35438.36"
"11-Apr-2022","    18062.45","    18114.55","    17992.95","    18032.40","      485791794","        31029.93"
"12-Apr-2022","    17965.30","    17970.95","    17786.95","    17877.55","      526484060","        35744.67"
"13-Apr-2022","    17956.20","    18017.30","    17816.20","    17835.20","      452942627","        27170.10"
"18-Apr-2022","    17566.00","    17615.05","    17440.60","    17565.95","      592984885","        38703.03"
"19-Apr-2022","    17662.55","    17687.45","    17199.50","    17330.40","      649407575","        45457.05"
"20-Apr-2022","    17425.20","    17553.95","    17353.90","    17496.65","      489476021","        34308.89"
"21-Apr-2022","    17602.60","    17766.90","    17578.00","    17750.20","      485141842","        33655.36"
"22-Apr-2022","    17610.30","    17678.25","    17518.85","    17541.10","      433798621","        32584.12"
"25-Apr-2022","    17373.15","    17403.90","    17236.45","    17300.35","      526765371","        30431.12"
"26-Apr-2022","    17472.10","    17600.45","    17429.85","    17577.80","      455170139","        30243.58"
"27-Apr-2022","    17453.55","    17484.15","    17321.10","    17398.55","      460394240","        32337.73"
"28-Apr-2022","    17557.60","    17687.50","    17429.20","    17615.40","      491821341","        35034.66"
"29-Apr-2022","    17703.10","    17741.40","    17404.90","    17457.20","      535222033","        37123.71"
